
=== Літери з пробілами  ===
Символ Кількість  % від загального
      113782         17.438%
ха    620             0.095%
аг    609             0.093%
еп    601             0.092%
вл    597             0.091%
еж    596             0.091%
ье    589             0.090%
дв    586             0.090%
еч    572             0.088%
ые    571             0.088%
оз    561             0.086%
ял    561             0.086%
тн    560             0.086%
ьс    560             0.086%
яс    555             0.085%
гд    553             0.085%
уз    551             0.084%
ае    547             0.084%
ых    546             0.084%
г     540             0.083%
ув    534             0.082%
лю    526             0.081%
ги    522             0.080%
тс    517             0.079%
рь    512             0.078%
ву    508             0.078%
лк    501             0.077%
гу    501             0.077%
ои    498             0.076%
аю    497             0.076%
 ф    496             0.076%
ыс    495             0.076%
ай    487             0.075%
бл    484             0.074%
уш    483             0.074%
зв    480             0.074%
сс    478             0.073%
пи    478             0.073%
би    471             0.072%
ою    470             0.072%
ач    468             0.072%
ап    466             0.071%
еш    460             0.070%
су    460             0.070%
пл    455             0.070%
яд    455             0.070%
сн    451             0.069%
уч    442             0.068%
зо    440             0.067%
пу    436             0.067%
ир    426             0.065%
аб    425             0.065%
зд    425             0.065%
сё    423             0.065%
ды    420             0.064%
йс    417             0.064%
щи    414             0.063%
ещ    413             0.063%
рн    412             0.063%
рт    409             0.063%
фи    403             0.062%
ё     402             0.062%
ии    400             0.061%
жд    400             0.061%
мы    395             0.061%
оя    395             0.061%
дл    391             0.060%
ян    386             0.059%
нт    381             0.058%
пь    375             0.057%
чу    366             0.056%
ур    364             0.056%
нц    363             0.056%
ге    362             0.055%
ца    361             0.055%
уп    350             0.054%
ох    346             0.053%
ыт    341             0.052%
зы    340             0.052%
ыш    331             0.051%
вз    327             0.050%
зя    326             0.050%
яж    326             0.050%
аф    325             0.050%
уб    324             0.050%
ыб    318             0.049%
тя    313             0.048%
цу    312             0.048%
иб    311             0.048%
дь    310             0.048%
иг    306             0.047%
фр    306             0.047%
ке    302             0.046%
вр    301             0.046%
бя    298             0.046%
оф    298             0.046%
чн    293             0.045%
шл    292             0.045%
ющ    276             0.042%
мя    276             0.042%
зг    276             0.042%
ют    269             0.041%
цо    263             0.040%
шк    262             0.040%
ща    260             0.040%
ьш    259             0.040%
нс    256             0.039%
рд    255             0.039%
кт    254             0.039%
сы    254             0.039%
иж    247             0.038%
ья    244             0.037%
ея    236             0.036%
рж    234             0.036%
дя    231             0.035%
кл    229             0.035%
ух    228             0.035%
иш    227             0.035%
ью    227             0.035%
пя    227             0.035%
ыр    222             0.034%
ын    221             0.034%
тк    221             0.034%
юд    221             0.034%
ею    220             0.034%
йн    219             0.034%
ьм    217             0.033%
лж    212             0.032%
шн    211             0.032%
шо    210             0.032%
лд    210             0.032%
ям    208             0.032%
шь    206             0.032%
сч    204             0.031%
зи    200             0.031%
сд    196             0.030%
юб    196             0.030%
вп    196             0.030%
ун    194             0.030%
йт    192             0.029%
 ц    190             0.029%
яг    190             0.029%
гн    188             0.029%
дт    186             0.029%
ию    185             0.028%
шу    183             0.028%
дъ    182             0.028%
рг    178             0.027%
вд    175             0.027%
ио    174             0.027%
тл    173             0.027%
ец    173             0.027%
ц     173             0.027%
дс    170             0.026%
яв    169             0.026%
ср    166             0.025%
зу    165             0.025%
рв    164             0.025%
зм    164             0.025%
рк    162             0.025%
лн    160             0.025%
бн    160             0.025%
бк    158             0.024%
ео    157             0.024%
б     155             0.024%
ащ    151             0.023%
рс    151             0.023%
рш    149             0.023%
рм    148             0.023%
йл    144             0.022%
мп    143             0.022%
чк    143             0.022%
ци    143             0.022%
ъе    142             0.022%
нк    140             0.021%
ип    139             0.021%
лч    135             0.021%
рю    133             0.020%
зе    133             0.020%
ж     132             0.020%
дк    132             0.020%
вт    130             0.020%
яя    128             0.020%
пы    125             0.019%
чь    124             0.019%
ущ    123             0.019%
жу    121             0.019%
нч    121             0.019%
ф     119             0.018%
оо    119             0.018%
ык    117             0.018%
сх    117             0.018%
йд    115             0.018%
фа    114             0.017%
зл    113             0.017%
зж    110             0.017%
цк    110             0.017%
ъю    109             0.017%
кв    107             0.016%
нг    106             0.016%
вь    104             0.016%
еи    104             0.016%
бщ    104             0.016%
зк    104             0.016%
дц    104             0.016%
ч     103             0.016%
тч    103             0.016%
шт    102             0.016%
хи    98              0.015%
ню    96              0.015%
хн    95              0.015%
лг    95              0.015%
зс    94              0.014%
уе    94              0.014%
юс    93              0.014%
ящ    93              0.014%
зр    93              0.014%
зб    92              0.014%
нщ    92              0.014%
вм    90              0.014%
ях    89              0.014%
фе    88              0.013%
ау    87              0.013%
рх    84              0.013%
мс    84              0.013%
ыч    83              0.013%
тд    83              0.013%
ьз    83              0.013%
сю    82              0.013%
хв    82              0.013%
вя    80              0.012%
вк    80              0.012%
ып    79              0.012%
ощ    79              0.012%
рб    78              0.012%
ху    77              0.012%
аи    77              0.012%
яч    76              0.012%
тц    76              0.012%
цы    75              0.011%
лл    74              0.011%
ьт    72              0.011%
зю    72              0.011%
ш     71              0.011%
ыг    71              0.011%
тт    68              0.010%
ищ    67              0.010%
ьб    67              0.010%
гк    67              0.010%
дш    66              0.010%
лп    66              0.010%
яе    61              0.009%
рц    61              0.009%
дп    61              0.009%
чо    60              0.009%
оц    59              0.009%
фл    59              0.009%
уй    58              0.009%
ац    56              0.009%
дм    56              0.009%
яю    55              0.008%
ьц    55              0.008%
жк    54              0.008%
эл    53              0.008%
йш    52              0.008%
юн    52              0.008%
пп    51              0.008%
рч    51              0.008%
ыд    51              0.008%
зз    50              0.008%
гв    49              0.008%
мл    48              0.007%
як    48              0.007%
ьи    48              0.007%
хр    47              0.007%
 щ    47              0.007%
юш    46              0.007%
чш    45              0.007%
иа    45              0.007%
кс    45              0.007%
бъ    45              0.007%
фу    45              0.007%
эс    45              0.007%
бс    44              0.007%
мк    43              0.007%
уя    43              0.007%
щу    42              0.006%
еу    42              0.006%
юр    42              0.006%
рщ    41              0.006%
 ю    41              0.006%
бм    40              0.006%
рл    39              0.006%
хл    39              0.006%
пк    39              0.006%
мг    39              0.006%
тп    39              0.006%
мю    39              0.006%
тю    38              0.006%
юч    37              0.006%
фо    37              0.006%
мт    36              0.006%
йр    36              0.006%
йч    35              0.005%
шп    35              0.005%
хм    35              0.005%
оу    34              0.005%
дх    33              0.005%
пн    33              0.005%
эк    33              0.005%
сш    32              0.005%
жб    32              0.005%
сз    32              0.005%
рр    32              0.005%
ъя    31              0.005%
пт    31              0.005%
тм    30              0.005%
эн    30              0.005%
йм    30              0.005%
жч    30              0.005%
бх    30              0.005%
ыз    30              0.005%
бь    30              0.005%
юц    29              0.004%
эр    29              0.004%
рп    28              0.004%
ьч    28              0.004%
ьо    28              0.004%
мр    27              0.004%
сб    27              0.004%
лт    27              0.004%
э     27              0.004%
нр    26              0.004%
йк    26              0.004%
ьг    26              0.004%
юл    25              0.004%
хс    25              0.004%
яр    25              0.004%
вх    25              0.004%
тъ    25              0.004%
хе    25              0.004%
бв    24              0.004%
гс    24              0.004%
п     23              0.004%
йц    23              0.004%
юю    23              0.004%
ьд    23              0.004%
чл    23              0.004%
ёт    23              0.004%
нш    23              0.004%
жо    22              0.003%
дб    22              0.003%
жь    22              0.003%
зп    22              0.003%
мц    22              0.003%
рз    21              0.003%
яц    21              0.003%
яб    21              0.003%
вч    19              0.003%
ыж    19              0.003%
щн    18              0.003%
тб    18              0.003%
мч    17              0.003%
юз    17              0.003%
 й    17              0.003%
цн    17              0.003%
цг    17              0.003%
нж    17              0.003%
бб    16              0.002%
юм    16              0.002%
бч    16              0.002%
хт    16              0.002%
мь    15              0.002%
лб    15              0.002%
жг    15              0.002%
сж    14              0.002%
тх    14              0.002%
гч    14              0.002%
дч    14              0.002%
вв    14              0.002%
вг    14              0.002%
рф    14              0.002%
гт    14              0.002%
уэ    14              0.002%
шм    13              0.002%
чр    13              0.002%
жс    13              0.002%
сц    13              0.002%
дд    13              0.002%
жю    13              0.002%
оэ    13              0.002%
уа    12              0.002%
яй    12              0.002%
щь    12              0.002%
цв    12              0.002%
фы    12              0.002%
кд    12              0.002%
тщ    12              0.002%
бг    12              0.002%
иф    11              0.002%
уи    11              0.002%
сф    11              0.002%
нз    11              0.002%
мм    10              0.002%
кю    10              0.002%
зъ    10              0.002%
яп    10              0.002%
шв    10              0.002%
въ    10              0.002%
аа    10              0.002%
яи    9               0.001%
бд    9               0.001%
ыи    9               0.001%
йб    9               0.001%
вц    9               0.001%
дю    9               0.001%
тф    9               0.001%
еф    9               0.001%
пг    9               0.001%
йе    8               0.001%
уо    8               0.001%
зш    8               0.001%
зч    8               0.001%
зт    8               0.001%
щ     8               0.001%
дж    8               0.001%
ьа    8               0.001%
съ    8               0.001%
нп    8               0.001%
жж    8               0.001%
йо    8               0.001%
дф    8               0.001%
пш    8               0.001%
нб    7               0.001%
жм    7               0.001%
сг    7               0.001%
кж    7               0.001%
гм    7               0.001%
кц    7               0.001%
фк    7               0.001%
кк    6               0.001%
вб    6               0.001%
тг    6               0.001%
еа    6               0.001%
нв    6               0.001%
нф    6               0.001%
эп    6               0.001%
лв    6               0.001%
дг    6               0.001%
гю    6               0.001%
гш    6               0.001%
лм    6               0.001%
эм    5               0.001%
пч    5               0.001%
оа    5               0.001%
 ы    5               0.001%
эг    5               0.001%
лф    5               0.001%
ьв    5               0.001%
ьщ    5               0.001%
эй    5               0.001%
кз    5               0.001%
фт    5               0.001%
бт    5               0.001%
тз    4               0.001%
юж    4               0.001%
фс    4               0.001%
юх    4               0.001%
ьф    4               0.001%
вщ    4               0.001%
уф    4               0.001%
бю    4               0.001%
кш    4               0.001%
лё    4               0.001%
мш    4               0.001%
ао    4               0.001%
бц    4               0.001%
лз    4               0.001%
юк    3               0.000%
фф    3               0.000%
ёр    3               0.000%
дз    3               0.000%
бж    3               0.000%
бш    3               0.000%
тэ    3               0.000%
уу    3               0.000%
ыу    3               0.000%
цл    3               0.000%
эх    3               0.000%
шш    3               0.000%
фм    3               0.000%
нм    2               0.000%
хъ    2               0.000%
зц    2               0.000%
нл    2               0.000%
цд    2               0.000%
мз    2               0.000%
пс    2               0.000%
мб    2               0.000%
яш    2               0.000%
кч    2               0.000%
кг    2               0.000%
гы    2               0.000%
цт    2               0.000%
иу    2               0.000%
шр    2               0.000%
йг    2               0.000%
ыо    2               0.000%
кх    2               0.000%
кё    2               0.000%
тж    1               0.000%
мф    1               0.000%
яф    1               0.000%
тё    1               0.000%
 ъ    1               0.000%
ъ     1               0.000%
 ь    1               0.000%
рэ    1               0.000%
чэ    1               0.000%
щр    1               0.000%
ыщ    1               0.000%
вэ    1               0.000%
жл    1               0.000%
ём    1               0.000%
лщ    1               0.000%
эз    1               0.000%
фь    1               0.000%
эд    1               0.000%
тш    1               0.000%
йй    1               0.000%
яа    1               0.000%
ёз    1               0.000%
кб    1               0.000%
мх    1               0.000%
гз    1               0.000%
цс    1               0.000%
мщ    1               0.000%
лш    1               0.000%
иь    1               0.000%
зй    1               0.000%
эц    1               0.000%
йа    1               0.000%
эш    1               0.000%
хп    1               0.000%
уц    1               0.000%
мд    1               0.000%
ёл    1               0.000%
пц    1               0.000%
бз    1               0.000%
йщ    1               0.000%
юг    1               0.000%
пф    1               0.000%
 ё    1               0.000%
йю    1               0.000%
ыц    1               0.000%
шс    1               0.000%
км    1               0.000%

=== Біграми без пробілів  ===
Символ Кількість  % від загального
то    8658            1.607%
ст    6836            1.269%
на    6585            1.222%
ов    6482            1.203%
ал    5855            1.087%
го    5799            1.076%
он    5619            1.043%
не    5579            1.036%
но    5541            1.029%
ко    5490            1.019%
по    5454            1.012%
ра    5353            0.994%
ос    5337            0.991%
ен    5072            0.942%
от    4864            0.903%
ка    4861            0.902%
во    4721            0.876%
ло    4599            0.854%
ер    4572            0.849%
ол    4510            0.837%
ро    4435            0.823%
ни    4408            0.818%
ли    4287            0.796%
ан    4252            0.789%
ор    4245            0.788%
ла    4175            0.775%
ел    4012            0.745%
ре    3812            0.708%
пр    3796            0.705%
ва    3764            0.699%
ом    3535            0.656%
ак    3510            0.652%
та    3497            0.649%
за    3481            0.646%
ат    3450            0.640%
ас    3410            0.633%
ри    3385            0.628%
од    3383            0.628%
ог    3316            0.616%
ил    3301            0.613%
ес    3226            0.599%
ав    3136            0.582%
ть    3129            0.581%
ск    3112            0.578%
ин    3071            0.570%
те    3011            0.559%
ем    2971            0.552%
ис    2883            0.535%
ив    2828            0.525%
аз    2797            0.519%
ве    2761            0.513%
де    2753            0.511%
об    2716            0.504%
ет    2665            0.495%
ле    2593            0.481%
ми    2586            0.480%
