954,533
199,700
854,256
7,526
206,664
861,220
69,371
762,899
755,870
655,593
824,744
107,149
100,120
306,287
169,955
892,440
137,607
792,163
923,130
943,762
792,411
38,929
20,168
830,778
100,774
18,837
941,405
810,686
80,682
131,523
151,194
231,800
861,37
881,669
730,318
305,590
802,727
269,29
656,469
497,634
925,897
563,221
159,872
464,900
428,339
66,624
692,376
36,404
533,541
599,128
398,590
895,727
362,29
246,71
708,63
762,359
47,829
509,821
235,235
715,567
914,705
462,68
188,443
253,342
452,480
499,812
687,218
726,576
773,908
274,900
17,200
48,727
79,293
110,820
141,386
172,913
203,479
234,45
265,572
296,138
327,665
358,231
389,758
420,324
451,851
482,417
513,944
544,510
575,76
606,603
637,169
668,696
699,262
730,789
761,355
792,882
823,448
854,14
885,541
916,107
947,634
14,242
45,769
76,335
107,862
138,428
200,521
231,87
262,614
293,180
324,707
355,273
386,800
417,366
448,893
479,459
510,25
541,552
572,118
603,645
634,211
665,738
696,304
727,831
758,397
789,924
820,490
851,56
882,583
913,149
944,676
897,342
120,494
64,717
236,107
184,649
219,469
789,686
725,466
909,618
944,438
841,872
777,652
52,262
35,624
742,342
17,913
926,494
282,210
83,547
192,261
679,849
762,834
871,548
927,260
878,91
109,751
165,463
769,144
90,753
852,129
56,516
34,551
796,888
905,602
370,342
327,913
27,494
591,717
918,107
618,649
746,469
634,686
43,466
661,618
789,438
934,872
343,652
300,262
128,624
215,342
833,494
778,489
672,578
223,819
183,570
855,586
406,827
431,942
289,60
106,948
512,317
537,432
738,547
555,474
449,563
25,919
530,830
424,919
936,199
491,655
182,252
641,748
470,404
652,94
150,590
377,404
779,386
309,479
459,572
686,386
320,618
811,711
502,308
227,618
584,407
275,4
734,500
