440,91
474,297
599,438
781,122
459,919
177,611
924,42
831,516
180,848
549,208
149,485
890,239
539,326
294,430
410,77
635,461
687,880
78,571
843,618
505,824
517,789
130,618
766,53
274,116
119,178
784,788
955,569
53,425
611,332
481,695
688,463
822,726
489,919
350,111
777,175
456,549
797,580
311,622
719,29
753,235
118,755
510,825
459,786
304,73
542,802
387,89
378,959
223,246
257,452
564,277
357,509
698,540
381,802
650,374
862,910
839,170
707,197
945,926
790,213
301,797
574,354
549,642
757,680
326,268
629,49
559,573
704,921
887,121
464,839
264,850
53,859
605,881
99,60
133,266
490,485
177,208
211,414
518,239
451,304
738,724
583,11
699,924
821,740
666,27
164,793
471,618
812,618
450,168
536,390
843,215
877,421
892,919
832,953
117,361
362,665
646,488
239,704
148,888
580,735
242,941
425,22
874,742
443,757
325,957
908,948
853,292
140,664
347,432
692,686
319,239
185,95
766,580
951,107
9,80
305,643
342,573
84,952
635,835
783,102
87,228
170,244
884,819
40,607
74,47
828,146
490,352
831,383
573,368
115,518
178,40
914,399
750,556
201,771
46,58
784,762
729,106
37,928
457,257
16,478
422,803
467,170
850,542
332,363
118,919
908,678
859,673
953,536
195,385
77,585
418,616
604,895
521,879
254,773
890,270
233,323
419,602
784,926
760,633
502,618
315,911
111,587
472,77
22,859
844,77
363,890
8,598
657,897
636,447
449,182
184,821
326,432
319,545
660,576
520,361
215,821
504,319
146,611
208,177
56,662
502,184
397,693
642,890
139,678
480,709
873,384
635,144
130,587
109,137
10,469
525,268
551,888
412,757
729,702
273,507
611,301
614,538
356,523
800,817
697,554
6,401
883,833
952,332
533,711
567,917
512,261
262,205
122,795
263,835
642,828
497,126
77,671
412,204
698,299
610,76
487,115
149,321
402,556
232,337
815,328
350,802
436,170
68,494
204,449
409,525
102,700
443,731
47,44
388,75
129,446
366,166
552,445
490,516
893,476
285,339
518,642
626,370
812,649
263,864
858,820
846,855
791,199
69,77
441,77
288,18
815,492
813,77
619,556
188,144
842,787
394,456
735,487
921,766
88,612
295,432
656,322
316,866
25,135
108,151
691,142
746,578
428,259
769,290
511,275
773,821
852,306
161,153
195,359
381,638
295,416
722,669
667,13
884,432
351,97
784,354
645,104
71,726
728,120
270,270
494,826
15,492
905,308
598,483
939,514
192,680
232,835
226,886
171,230
326,943
673,394
335,600
676,631
759,647
202,757
595,804
543,788
936,835
915,385
444,345
776,343
71,173
269,417
103,717
946,912
381,368
146,84
666,702
