 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ; 
à;1.8693627030984686e-05;0.0007321670587135669;0.0034988238592993004;0.0008848316794666085;0.0020781082049444646;0.0008661380524356238;0.0012182013615191687;0.003938124094527441;0.0001308553892168928;0.0007415138722290592;0.004212297290981883;0.00884520119016092;0.002716807128503108;0.005050394902871029;6.231209010328229e-06;0.0006916642001464334;0.002676304269935974;0.0037605346377330862;0.004648481921704859;0.00015578022525820573;0.0004704562802797813;0.0009596061875905473;6.854329911361052e-05;0.0007134734316825822;0.0009627217920957113;0.00022743912887698037;0.0;0.0;3.1156045051641143e-06;0.0007820167307961927;0.0026513794338946612;0.016525166295390463
á;0.0011808141074571995;2.1809231536148802e-05;2.804044054647703e-05;6.231209010328229e-06;1.8693627030984686e-05;0.0019784088607792127;6.231209010328229e-06;3.1156045051641143e-06;0.0007165890361877463;0.0;0.00022120791986665213;0.0007726699172807004;6.23120901032823e-05;0.0002554795694234574;0.002177807549109716;0.0;0.0011060395993332606;7.165890361877464e-05;9.346813515492343e-06;0.00119639212998302;0.0;4.3618463072297604e-05;6.231209010328229e-06;3.115604505164115e-05;6.231209010328229e-06;0.00013397099372205692;0.0033368124250307664;0.00012150857570140047;3.1156045051641143e-06;9.346813515492343e-06;0.00045799386225912485;0.0002554795694234574
â;0.00561120371380057;3.1156045051641143e-06;2.4924836041312915e-05;2.1809231536148802e-05;0.0002804044054647703;0.004181141245930242;0.0;0.0005234215568675712;0.0032589223124016636;0.0;0.00014020220273238516;0.0009409125605595625;0.0001246241802065646;0.0012836290561276152;0.007047497390681227;0.0003240228685370679;0.00045799386225912485;0.0030439456015453397;0.0001931674793201751;0.0008256351938684903;0.0;4.0502858567133485e-05;9.346813515492343e-06;1.8693627030984686e-05;0.0012306637795398252;3.1156045051641143e-06;0.0026451482248843333;0.00017758945679435454;3.1156045051641143e-06;0.0;9.969934416525166e-05;0.006134625270668141
ã;0.001034380695714486;0.0;6.54276946084464e-05;0.0;0.0008318664028788185;0.0006324677145483152;0.0;0.0;0.0008349820073839827;0.0;0.0001246241802065646;0.0016481547832318166;1.2462418020656457e-05;0.00035206330908354495;0.008960478556851992;0.0;0.001308553892168928;3.738725406196937e-05;3.115604505164115e-05;0.0007446294767342234;0.0;0.0;0.0;1.5578022525820573e-05;3.1156045051641143e-06;0.0;0.0;0.0;0.0;1.2462418020656457e-05;0.0;0.000872369261445952
ä;0.004090788715280482;3.115604505164115e-05;0.0009222189335285778;6.231209010328229e-06;1.5578022525820573e-05;0.0043026498216316425;1.8693627030984686e-05;3.1156045051641143e-06;0.002642032620379169;0.0;0.00023990154689763682;0.0005888492514760176;8.100571713426697e-05;0.0017229292913557553;0.0034583210007321672;9.969934416525166e-05;0.0020313741373670026;0.00024613275590796505;0.0003146760550215756;0.0015733802751078778;1.2462418020656457e-05;5.296527658778995e-05;0.0001277397847117287;1.5578022525820573e-05;0.0001059305531755799;0.0;0.0006605081550947922;0.0008225195893633262;3.1156045051641143e-06;6.231209010328229e-06;0.00033336968205256024;0.0010468431137351424
å;3.1156045051641143e-06;0.0010250338821989936;0.0012649354290966304;0.0033087719844842895;0.0023553970059040706;0.0014736809309426262;0.0009471437695698908;0.00103749630021965;0.00017758945679435454;0.002336703378873086;0.0009720686056112037;0.005957035813873787;0.003639026062031686;0.0067795554032371134;0.00022743912887698037;0.0009720686056112037;0.006611312759958251;0.0034489741872166745;0.0034427429782063466;6.54276946084464e-05;1.8693627030984686e-05;0.0010437275092299784;0.00023990154689763682;0.0009035253064975932;0.0006760861776206129;0.00059819606499151;0.0;0.0;0.0;0.0003676413316093655;0.0003707569361145296;0.016085866060162324
æ;0.0012431261975604816;4.673406757746172e-05;0.0;3.427164955680526e-05;0.0006418145280638076;0.003623448039505865;1.2462418020656457e-05;0.0;0.0011309644353745736;0.0;9.346813515492343e-05;0.0;6.231209010328229e-06;0.001031265091209322;1.8693627030984686e-05;0.0;0.0;1.8693627030984686e-05;0.0;0.00017758945679435454;0.0;0.0;0.0;5.296527658778995e-05;0.0;0.0;0.0;4.0502858567133485e-05;0.0;9.346813515492343e-06;0.0;0.00020562989734083156
ç;0.005333914912840964;0.0001308553892168928;0.0007197046406929104;0.000436184630722976;0.000679201782125777;0.00023990154689763682;0.00015889582976336985;8.723692614459521e-05;0.00030844484601124733;0.0;0.00015889582976336985;0.00015889582976336985;0.0002367859423924727;0.001526646207530416;0.0007290514542084028;4.0502858567133485e-05;0.0001277397847117287;0.0001526646207530416;1.2462418020656457e-05;0.0002149767108563239;0.0;0.0;3.1156045051641143e-06;1.2462418020656457e-05;9.346813515492343e-06;0.0;0.0005203059523624071;0.001062421136260963;0.0;8.723692614459521e-05;0.0005327683703830636;0.0011621204804262146
è;5.296527658778995e-05;0.0005296527658778994;0.0025984141573068714;0.00048603430280560187;0.001713582477840263;0.0023180097518421014;0.0003832193541351861;0.001607651924664683;0.0005732712289501971;0.0014020220273238515;0.0016450391787266525;0.004754412474880438;0.002875702958266478;0.00314987615472092;0.0002585951739286215;0.00022120791986665213;0.0006729705731154487;0.002800928450142539;0.003268269125917156;3.1156045051641143e-06;2.1809231536148802e-05;0.0016948888508092784;0.0014020220273238515;0.00119639212998302;0.00036141012259903726;0.00010281494867041578;0.0;0.0;0.0;0.0002617107784337856;0.0014674497219322978;0.018344679326406307
é;0.0;1.2462418020656457e-05;0.0;6.231209010328229e-06;0.00018693627030984687;1.8693627030984686e-05;0.0;0.0;0.0;0.0;4.0502858567133485e-05;0.00022743912887698037;3.427164955680526e-05;0.0003240228685370679;1.2462418020656457e-05;0.0;5.296527658778995e-05;0.0006605081550947922;0.00031156045051641145;0.0;0.0;0.0;3.427164955680526e-05;5.608088109295406e-05;6.854329911361052e-05;3.1156045051641143e-06;0.0;0.0;0.0;3.1156045051641143e-06;0.0;0.007714236754786347
