,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
ч,0.002497,0.000025,0.000092,0.000015,0.000028,0.003829,0.000008,0.000020,0.001922,0.000000,0.000532,0.000061,0.000015,0.000776,0.000140,0.000135,0.000132,0.000084,0.003844,0.000911,0.000003,0.000041,0.000003,0.000059,0.000211,0.000000,0.000000,0.000000,0.000354,0.000008,0.000000,0.000031,0.000000
ш,0.001219,0.000003,0.000033,0.000000,0.000003,0.002620,0.000000,0.000003,0.002917,0.000003,0.000532,0.000476,0.000033,0.000514,0.000239,0.000059,0.000003,0.000023,0.000043,0.000354,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000326,0.000003,0.000000,0.000000,0.000000
щ,0.000484,0.000003,0.000005,0.000000,0.000000,0.001469,0.000000,0.000000,0.000748,0.000000,0.000000,0.000000,0.000005,0.000038,0.000010,0.000000,0.000008,0.000008,0.000000,0.000094,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000
ъ,0.000000,0.000000,0.000003,0.000000,0.000000,0.000132,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000109,0.000000
ы,0.000051,0.000405,0.001693,0.000252,0.000341,0.002131,0.000064,0.000196,0.000608,0.002052,0.000802,0.002963,0.001685,0.001161,0.000321,0.000832,0.000433,0.001382,0.000871,0.000140,0.000005,0.001527,0.000102,0.000300,0.000593,0.000018,0.000000,0.000000,0.000000,0.000046,0.000000,0.000046,0.000000
ь,0.000117,0.000766,0.001365,0.000305,0.000479,0.001309,0.000115,0.000418,0.001240,0.000000,0.002390,0.000209,0.000527,0.002640,0.000708,0.001028,0.000249,0.002062,0.000748,0.000247,0.000010,0.000135,0.000143,0.000484,0.000463,0.000031,0.000000,0.000000,0.000000,0.000097,0.000446,0.000960,0.000013
э,0.000000,0.000000,0.000000,0.000008,0.000008,0.000000,0.000000,0.000005,0.000000,0.000025,0.000051,0.000020,0.000000,0.000003,0.000000,0.000005,0.000000,0.000005,0.001601,0.000000,0.000003,0.000020,0.000000,0.000005,0.000003,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000
ю,0.000066,0.000461,0.000344,0.000219,0.000479,0.000084,0.000153,0.000122,0.000372,0.000003,0.000456,0.000130,0.000181,0.000453,0.000199,0.000489,0.000193,0.000578,0.000616,0.000094,0.000028,0.000092,0.000023,0.000260,0.000064,0.000288,0.000000,0.000000,0.000000,0.000025,0.000059,0.000038,0.000000
я,0.000107,0.000484,0.001662,0.000369,0.001102,0.000262,0.000288,0.000698,0.000863,0.000051,0.001118,0.001232,0.000932,0.002189,0.000672,0.001036,0.000351,0.001617,0.002042,0.000232,0.000041,0.000463,0.000066,0.000588,0.000079,0.000135,0.000000,0.000000,0.000000,0.000066,0.000066,0.000145,0.000000
ё,0.000000,0.000015,0.000015,0.000013,0.000003,0.000020,0.000000,0.000008,0.000013,0.000000,0.000015,0.000010,0.000008,0.000033,0.000010,0.000036,0.000005,0.000015,0.000025,0.000005,0.000000,0.000005,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000
