, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
с,0.002679,0.001788,0.000084,0.002174,0.000013,0.000266,0.003771,0.000028,0.000024,0.001494,0.000000,0.003570,0.002462,0.000691,0.000955,0.002372,0.001213,0.000137,0.000614,0.010492,0.000798,0.000009,0.000283,0.000019,0.000210,0.000082,0.000002,0.000039,0.000498,0.003117,0.000000,0.000204,0.003887,0.000234
т,0.004812,0.006193,0.000045,0.002078,0.000011,0.000174,0.004780,0.000006,0.000017,0.003145,0.000000,0.000446,0.000204,0.000024,0.000876,0.012400,0.000127,0.002490,0.000972,0.000094,0.001440,0.000000,0.000019,0.000092,0.000187,0.000006,0.000009,0.000013,0.001468,0.005604,0.000002,0.000049,0.000517,0.000000
у,0.006427,0.000009,0.000768,0.000773,0.001359,0.002106,0.000135,0.001702,0.000298,0.000006,0.000082,0.001144,0.001468,0.000927,0.000305,0.000013,0.000783,0.000792,0.001408,0.001344,0.000004,0.000032,0.000515,0.000043,0.000889,0.000708,0.000172,0.000000,0.000000,0.000000,0.000002,0.001110,0.000049,0.000000
ф,0.000041,0.000084,0.000000,0.000000,0.000000,0.000000,0.000103,0.000000,0.000000,0.000155,0.000000,0.000000,0.000013,0.000002,0.000000,0.000434,0.000000,0.000047,0.000004,0.000039,0.000021,0.000002,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000060,0.000000,0.000000,0.000004,0.000000
х,0.004314,0.000612,0.000017,0.000322,0.000009,0.000028,0.000077,0.000000,0.000009,0.000258,0.000000,0.000021,0.000266,0.000049,0.000191,0.002005,0.000013,0.000221,0.000103,0.000073,0.000453,0.000000,0.000004,0.000004,0.000002,0.000019,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000
ц,0.000526,0.000691,0.000000,0.000120,0.000000,0.000000,0.000867,0.000000,0.000000,0.000099,0.000000,0.000283,0.000000,0.000000,0.000002,0.000193,0.000002,0.000000,0.000002,0.000000,0.000180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000348,0.000000,0.000000,0.000002,0.000006,0.000000
ч,0.000794,0.002093,0.000000,0.000002,0.000000,0.000000,0.003205,0.000000,0.000000,0.001569,0.000000,0.000393,0.000032,0.000004,0.000565,0.000073,0.000002,0.000099,0.000000,0.003218,0.000749,0.000000,0.000028,0.000000,0.000000,0.000178,0.000000,0.000000,0.000000,0.000298,0.000000,0.000000,0.000000,0.000000
ш,0.000067,0.001022,0.000002,0.000019,0.000000,0.000000,0.002209,0.000000,0.000000,0.002449,0.000000,0.000446,0.000401,0.000028,0.000431,0.000200,0.000039,0.000000,0.000015,0.000030,0.000296,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000275,0.000000,0.000000,0.000000,0.000000
щ,0.000034,0.000406,0.000000,0.000002,0.000000,0.000000,0.001236,0.000000,0.000000,0.000627,0.000000,0.000000,0.000000,0.000000,0.000026,0.000006,0.000000,0.000006,0.000000,0.000000,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000000,0.000000,0.000000,0.000000
ъ,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000112,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.000092,0.000000
ы,0.004493,0.000000,0.000178,0.000977,0.000124,0.000107,0.001672,0.000021,0.000043,0.000013,0.001730,0.000412,0.002447,0.001284,0.000453,0.000017,0.000266,0.000303,0.000693,0.000504,0.000004,0.000000,0.001236,0.000077,0.000172,0.000485,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000
ь,0.009670,0.000004,0.000301,0.000041,0.000079,0.000047,0.000710,0.000004,0.000107,0.000131,0.000000,0.001357,0.000015,0.000232,0.001183,0.000019,0.000041,0.000011,0.000906,0.000101,0.000006,0.000000,0.000006,0.000103,0.000056,0.000356,0.000009,0.000000,0.000000,0.000000,0.000002,0.000373,0.000730,0.000011
э,0.000013,0.000000,0.000000,0.000000,0.000006,0.000004,0.000000,0.000000,0.000004,0.000000,0.000021,0.000041,0.000017,0.000000,0.000002,0.000000,0.000004,0.000000,0.000004,0.001350,0.000000,0.000002,0.000017,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ю,0.003694,0.000004,0.000251,0.000013,0.000034,0.000232,0.000009,0.000058,0.000011,0.000004,0.000002,0.000058,0.000049,0.000024,0.000082,0.000015,0.000024,0.000052,0.000101,0.000373,0.000000,0.000004,0.000041,0.000004,0.000079,0.000028,0.000240,0.000000,0.000000,0.000000,0.000000,0.000045,0.000004,0.000000
я,0.008693,0.000009,0.000028,0.000399,0.000120,0.000575,0.000077,0.000140,0.000333,0.000071,0.000043,0.000412,0.000912,0.000556,0.000886,0.000011,0.000062,0.000109,0.000457,0.001281,0.000004,0.000002,0.000298,0.000043,0.000191,0.000024,0.000112,0.000000,0.000000,0.000000,0.000000,0.000049,0.000084,0.000000
ё,0.000230,0.000000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000002,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
