, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
с,0.002614,0.001803,0.000090,0.002215,0.000009,0.000266,0.003709,0.000043,0.000026,0.001464,0.000000,0.003580,0.002554,0.000653,0.000893,0.002365,0.001120,0.000120,0.000627,0.010402,0.000781,0.000004,0.000275,0.000017,0.000180,0.000077,0.000004,0.000043,0.000511,0.003181,0.000000,0.000180,0.003872,0.000236
т,0.004804,0.006178,0.000026,0.002048,0.000017,0.000176,0.004761,0.000009,0.000013,0.003245,0.000000,0.000459,0.000215,0.000030,0.000876,0.012179,0.000159,0.002546,0.000944,0.000082,0.001404,0.000000,0.000026,0.000073,0.000137,0.000000,0.000009,0.000021,0.001503,0.005735,0.000004,0.000056,0.000549,0.000000
у,0.006409,0.000004,0.000764,0.000743,0.001357,0.002245,0.000155,0.001709,0.000305,0.000004,0.000069,0.001189,0.001447,0.000944,0.000313,0.000021,0.000820,0.000798,0.001331,0.001271,0.000000,0.000017,0.000519,0.000047,0.000953,0.000730,0.000193,0.000000,0.000000,0.000000,0.000004,0.001159,0.000043,0.000000
ф,0.000047,0.000082,0.000000,0.000000,0.000000,0.000000,0.000099,0.000000,0.000000,0.000172,0.000000,0.000000,0.000013,0.000000,0.000000,0.000464,0.000000,0.000047,0.000000,0.000052,0.000013,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000077,0.000000,0.000000,0.000004,0.000000
х,0.004375,0.000549,0.000021,0.000322,0.000000,0.000030,0.000056,0.000000,0.000000,0.000266,0.000000,0.000021,0.000223,0.000052,0.000193,0.001949,0.000013,0.000245,0.000124,0.000069,0.000485,0.000000,0.000004,0.000000,0.000004,0.000021,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000
ц,0.000489,0.000717,0.000000,0.000116,0.000000,0.000000,0.000803,0.000000,0.000000,0.000099,0.000000,0.000309,0.000000,0.000000,0.000004,0.000206,0.000004,0.000000,0.000000,0.000000,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000352,0.000000,0.000000,0.000000,0.000009,0.000000
ч,0.000786,0.002056,0.000000,0.000004,0.000000,0.000000,0.003138,0.000000,0.000000,0.001606,0.000000,0.000404,0.000026,0.000009,0.000507,0.000086,0.000000,0.000094,0.000000,0.003267,0.000738,0.000000,0.000026,0.000000,0.000000,0.000146,0.000000,0.000000,0.000000,0.000318,0.000000,0.000000,0.000000,0.000000
ш,0.000069,0.001095,0.000004,0.000026,0.000000,0.000000,0.002129,0.000000,0.000000,0.002571,0.000000,0.000481,0.000395,0.000026,0.000399,0.000228,0.000039,0.000000,0.000021,0.000034,0.000339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000262,0.000000,0.000000,0.000000,0.000000
щ,0.000047,0.000386,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.000000,0.000631,0.000000,0.000000,0.000000,0.000000,0.000021,0.000004,0.000000,0.000009,0.000000,0.000000,0.000086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000
ъ,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000082,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000107,0.000000
ы,0.004654,0.000000,0.000167,0.001082,0.000124,0.000112,0.001679,0.000030,0.000052,0.000026,0.001743,0.000459,0.002426,0.001245,0.000472,0.000013,0.000283,0.000348,0.000700,0.000442,0.000009,0.000000,0.001232,0.000073,0.000159,0.000464,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000
ь,0.009535,0.000000,0.000275,0.000043,0.000099,0.000039,0.000751,0.000004,0.000107,0.000124,0.000000,0.001395,0.000017,0.000228,0.001193,0.000021,0.000039,0.000009,0.000871,0.000129,0.000009,0.000000,0.000009,0.000073,0.000064,0.000395,0.000009,0.000000,0.000000,0.000000,0.000004,0.000404,0.000657,0.000013
э,0.000017,0.000000,0.000000,0.000000,0.000004,0.000004,0.000000,0.000000,0.000004,0.000000,0.000013,0.000034,0.000004,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.001348,0.000000,0.000000,0.000017,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ю,0.003559,0.000000,0.000292,0.000004,0.000047,0.000193,0.000009,0.000052,0.000017,0.000009,0.000004,0.000060,0.000047,0.000021,0.000052,0.000004,0.000026,0.000052,0.000082,0.000343,0.000000,0.000004,0.000039,0.000004,0.000064,0.000030,0.000249,0.000000,0.000000,0.000000,0.000000,0.000043,0.000004,0.000000
я,0.008843,0.000000,0.000034,0.000404,0.000099,0.000554,0.000060,0.000133,0.000348,0.000073,0.000034,0.000455,0.000859,0.000588,0.000854,0.000017,0.000056,0.000094,0.000386,0.001245,0.000004,0.000000,0.000305,0.000026,0.000180,0.000017,0.000082,0.000000,0.000000,0.000000,0.000000,0.000060,0.000073,0.000000
ё,0.000223,0.000000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
