r,avgIC,Dr,rankSum,key_chi2,key_refined,score_chi2,score_refined,files
16,0.055398,302,3,делолисоборотней,делолисоборотней,534.87,534.87,cand_r16_keyCHI2_делолисоборотней.txt|cand_r16_keyREF_делолисоборотней.txt
32,0.055823,275,3,делолисоборотнейделолисоборотней,делолисоборотнейделолисоборотней,1107.31,1107.31,cand_r32_keyCHI2_делолисоборотнейделолисоборотней.txt|cand_r32_keyREF_делолисоборотнейделолисоборотней.txt
20,0.039798,207,17,бифобипобйоодипозйоо,бифобипобйоодипозйоо,6035.22,6035.22,cand_r20_keyCHI2_бифобипобйоодипозйоо.txt|cand_r20_keyREF_бифобипобйоодипозйоо.txt
36,0.039837,201,19,блообйооболокипобиоодтообиооиипонило,блообйооболокипобиоодтообиооиипонило,6559.38,6559.38,cand_r36_keyCHI2_блообйооболокипобиоодтообиооиипонило.txt|cand_r36_keyREF_блообйооболокипобиоодтообиооиипонило.txt
18,0.037051,216,20,жолофоооооонкожкло,жолофоооооонкожкло,7209.46,7209.46,cand_r18_keyCHI2_жолофоооооонкожкло.txt|cand_r18_keyREF_жолофоооооонкожкло.txt
