, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
т,0.00522,0.005208,2.74e-05,0.002669,2.49e-06,0.000122,0.006663,0,0,0.003885,0,0.000709,0.000808,2.49e-05,0.001079,0.012452,0.000142,0.002291,0.001191,9.70e-05,0.001263,1.24e-05,2.49e-05,3.98e-05,9.70e-05,3.48e-05,1.49e-05,0.001127,0.005526,0,9.20e-05,0.000594
у,0.006772,3.48e-05,0.000495,0.000721,0.001112,0.002069,0.000293,0.001059,0.000239,0.000152,0.000112,0.00098,0.00186,0.001054,0.000505,1.24e-05,0.000676,0.000269,0.001161,0.001559,0,1.99e-05,0.000403,9.95e-06,0.000885,0.000863,0.000216,0,0,9.95e-06,0.001057,4.73e-05
ф,4.73e-05,0.000109,0,0,0,0,0.00041,0,0,0.000164,0,0,1.24e-05,2.49e-06,0,0.000102,0,2.98e-05,7.46e-06,2.49e-06,8.95e-05,1.74e-05,0,0,0,0,0,7.46e-06,0,4.23e-05,0,7.46e-06
х,0.003106,0.000465,0,0.000231,0,0,3.48e-05,0,0,0.000216,0,0,0.000154,5.47e-05,0.000199,0.002024,0,0.000112,3.23e-05,0,0.000129,2.49e-06,0,0,0,7.46e-06,0,0,0,7.46e-06,0,0
ц,0.000323,0.000567,0,4.23e-05,0,0,0.000711,0,0,8.95e-05,0,9.95e-06,0,0,0,0.000214,0,0,0,0,0.000112,0,0,0,0,0,0,0.000157,0,0,0,0
ч,8.95e-05,0.002084,0,9.95e-06,0,0,0.003116,0,0,0.00197,0,0.000249,3.23e-05,2.49e-06,0.000592,6.71e-05,0,3.23e-05,0,0.002999,0.000535,0,0,0,0,0.000164,0,0,0.000269,0,0,0
ш,5.22e-05,0.000982,0,2.24e-05,0,0,0.002169,0,0,0.001763,0,0.000629,0.000522,2.98e-05,0.000199,0.000147,1.24e-05,0,0,7.21e-05,0.000264,0,0,0,0,0,0,0,0.000348,0,0,0
щ,2.98e-05,0.000425,0,0,0,0,0.001186,0,0,0.00088,0,0,0,0,6.96e-05,2.49e-06,0,2.49e-06,0,0,7.71e-05,0,0,0,0,0,0,0,8.95e-05,0,0,0
ы,0.004683,0,0.000159,0.000816,7.96e-05,8.70e-05,0.00102,1.24e-05,9.70e-05,7.46e-06,0.001967,0.000139,0.00198,0.001487,0.000214,0,0.000147,0.000251,0.000634,0.000714,0,0,0.000751,2.49e-06,0.000174,0.000555,1.24e-05,0,0,0,0,4.97e-06
ь,0.010038,0,6.71e-05,2.49e-06,4.97e-05,1.49e-05,0.000336,0,0.000157,4.73e-05,0,0.001064,0,0.000607,0.001296,1.99e-05,0,0,0.000918,0.000117,0,0,0,7.21e-05,0.000567,0.00052,4.48e-05,0,0,0,0.00047,0.000279
э,0.000201,0,2.49e-06,0,2.24e-05,4.48e-05,0,0,0,0,0.000134,5.22e-05,3.23e-05,3.48e-05,0.000229,0,0,0.000249,0,0.002654,0,2.49e-06,7.46e-06,0,0,4.97e-06,0,0,0,0,0,0
ю,0.002271,0,0.000219,0,7.46e-06,0.000433,2.49e-06,9.95e-06,9.95e-06,0,4.97e-06,9.95e-06,7.46e-06,6.22e-05,0.000154,0,0,8.46e-05,0.000134,0.000368,0,7.46e-06,1.49e-05,2.49e-06,0.000134,1.49e-05,0.000381,0,0,0,3.23e-05,0
я,0.010368,0,9.95e-06,0.000517,0.000114,0.000418,0.000104,0.000192,0.000266,5.97e-05,6.22e-05,0.000147,0.000768,0.000358,0.000532,0,6.96e-05,7.21e-05,0.000699,0.001099,0,0,0.000179,3.73e-05,8.21e-05,2.49e-06,0.000179,0,0,0,8.70e-05,0.000117
