4,533
6,350
8,5
14,579
18,703
27,211
30,886
35,99
42,911
45,66
45,403
48,686
53,682
58,738
66,248
66,626
72,335
82,415
89,304
90,190
97,192
107,827
109,55
110,779
118,295
120,211
120,831
125,48
128,719
129,369
133,496
137,469
149,853
151,397
159,285
161,443
169,672
170,0
175,365
176,165
182,924
190,812
192,939
196,267
199,469
202,55
203,779
211,846
213,490
221,378
223,536
224,584
230,469
235,641
243,125
244,56
249,699
252,905
253,59
254,691
256,562
263,620
265,779
269,707
272,711
275,583
283,471
284,678
290,893
292,469
293,66
301,62
302,478
306,149
312,960
314,37
314,41
314,831
320,335
321,625
337,676
342,941
345,564
348,894
368,242
368,583
376,130
381,155
391,768
396,60
396,684
399,769
400,190
404,792
407,657
409,784
423,953
426,283
430,335
438,223
438,355
441,808
444,713
453,552
461,862
464,410
469,750
492,428
497,848
500,316
508,706
517,707
520,33
523,324
523,955
531,843
535,396
538,687
552,232
554,521
557,390
561,489
562,409
565,498
565,956
570,490
580,520
585,87
593,599
593,936
613,742
616,614
619,317
624,502
640,54
641,465
647,180
647,593
647,800
649,464
655,68
659,780
660,954
668,155
669,713
671,365
677,1
678,707
686,595
689,305
692,93
696,645
698,55
705,117
707,945
708,741
709,273
712,142
717,161
718,554
726,783
731,713
737,91
738,264
740,800
748,688
750,412
758,62
759,0
762,372
765,196
769,822
771,366
779,254
785,298
786,893
791,55
792,128
800,573
802,893
810,781
812,567
824,372
828,520
832,90
833,459
836,173
841,347
841,589
843,164
851,645
852,620
854,934
864,25
871,489
872,874
879,260
889,124
895,211
895,552
903,440
908,954
913,734
916,775
916,779
919,105
926,118
931,916
934,6
934,10
934,248
934,252
934,589
934,630
943,721
947,841
953,292
955,325
957,645
